name,price,brand,operating_system,ram,cpu_model,cpu_speed,ratings_count,url
Samsung Galaxy S22 SM-S901U Unlocked 128GB Green Excellent,,Samsung,Android 12.0,8 GB,Snapdragon,2.8 GHz,(229),https://www.amazon.com/Samsung-Galaxy-S22-SM-S901U-Excellent/dp/B09VT82B21/ref=sr_1_150?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung+phone&qid=1774770319&sr=8-150
Samsung S20 Ultra 5G Factory Unlocked SM-G988U1 Cosmic Black 128GB - US Warranty (Renewed),,Samsung,Android 10.0,12 GB,Snapdragon,2.73 GHz,(864),https://www.amazon.com/Samsung-Factory-Unlocked-SM-G988U1-Cosmic/dp/B089YXP2Z1/ref=sr_1_149?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung%2Bphone&qid=1774770319&sr=8-149&th=1
Samsung Galaxy Note 20 Ultra 5G 128GB Mystic Black - Fully Unlocked - SM-N986U1 (AT&T Verizon T-Mobile Global) w/Fast Wireless Charging Pad,,Samsung,Android 10.0,12 GB,Snapdragon,3.09 GHz,(70),https://www.amazon.com/Samsung-Galaxy-Ultra-128GB-Mystic/dp/B09X25MN5N/ref=sr_1_148?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung+phone&qid=1774770319&sr=8-148
Samsung Galaxy S22 Smartphone 128GB T-Mobile - Phantom Black (Renewed),,Samsung,Android 12.0,8 GB,Snapdragon,2.8E+3 MHz,(272),https://www.amazon.com/Samsung-Galaxy-S22-Smartphone-T-Mobile/dp/B0B2X796SX/ref=sr_1_147?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung+phone&qid=1774770319&sr=8-147
Samsung Galaxy S25+ Cell Phone 512GB AI Smartphone Unlocked Android AI Camera Fast Processor ProScaler Display Long Battery Life 2025 Mint (Renewed),,Samsung,Android,12 GB,Snapdragon,3.5 GHz,(7),https://www.amazon.com/Samsung-Smartphone-Unlocked-Processor-ProScaler/dp/B0F3G8DRG8/ref=sr_1_146?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung+phone&qid=1774770319&sr=8-146
Samsung Galaxy S22 5G US Version 128GB Phantom Black - Verizon (Renewed),,Samsung,Android,,Snapdragon,2.99 GHz,(23),https://www.amazon.com/Samsung-Phantom-Black-Verizon-Renewed/dp/B09X7JBS4G/ref=sr_1_145?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung+phone&qid=1774770319&sr=8-145
Samsung Galaxy Z Fold6 1TB F956U Unlocked,,Samsung,Android,12 GB,Snapdragon,3.39 GHz,(9),https://www.amazon.com/SAMSUNG-Galaxy-SM-F956U1-Unlocked-Renewed/dp/B0DK3YT6GW/ref=sr_1_144?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung+phone&qid=1774770307&sr=8-144
SAMSUNG Galaxy A71 5G (128GB 6GB) 6.7 AMOLED+ Snapdragon 765G 4500mAh Battery Global 5G Volte GSM AT&T Unlocked (T-Mobile Metro Straight Talk) A716U (Prism Cube Black) (Renewed),,Samsung,Android 10.0,8 GB,Snapdragon,"1.8, 2.2 GHz",(811),https://www.amazon.com/SAMSUNG-Galaxy-A71-5G-Snapdragon/dp/B08PQ5ZCNP/ref=sr_1_143?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung+phone&qid=1774770307&sr=8-143
Samsung Galaxy A15 5G (SM-A156U) | 4/64GB | for AT&T and GSM Unlocked | Blue/Black (Renewed),,Samsung,Android,,,,,https://www.amazon.com/Samsung-Galaxy-SM-A156U-Unlocked-Renewed/dp/B0G99R352K/ref=sr_1_142?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung+phone&qid=1774770307&sr=8-142
SAMSUNG Galaxy S23 5G Factory Unlocked 128GB - Lavender (Renewed),,Samsung,Android,8 GB,Snapdragon,3.36 GHz,(431),https://www.amazon.com/SAMSUNG-Galaxy-S23-Factory-Unlocked/dp/B0C5PZKN47/ref=sr_1_141?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung+phone&qid=1774770307&sr=8-141
Samsung Galaxy Z Flip 4 5G US Version 128GB Bora Purple - Unlocked (Renewed),,Samsung,Android,8 GB,Snapdragon,2.75 GHz,(3054),https://www.amazon.com/SAMSUNG-Galaxy-Flip-Version-Purple/dp/B0BKTP5XGT/ref=sr_1_140?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung%2Bphone&qid=1774770307&sr=8-140&th=1
Samsung Galaxy S20 Ultra 5G (128GB 12GB RAM) 6.9 AMOLED 2X Snapdragon 865 108MP Quad Camera Global 5G Volte (GSM+CDMA) AT&T Unlocked (T-Mobile Verizon Global Metro) G988U (Renewed),,Samsung,Android,12 GB,Snapdragon,2.8 GHz,(320),https://www.amazon.com/Samsung-Snapdragon-Unlocked-T-Mobile-Verizon/dp/B09352C4XY/ref=sr_1_139?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung+phone&qid=1774770307&sr=8-139
Samsung Galaxy S10+ Plus SM-G975F/DS 4G LTE International Version (No US Warranty) 128GB+8GB RAM Prism White - GSM Unlocked,,Samsung,Android 9.0,8 GB,Snapdragon,"1.95, 2.31, 2.73 GHz",(464),https://www.amazon.com/Samsung-SM-G975F-Smartphone-International-No-Warranty/dp/B07NZXBRPS/ref=sr_1_138?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung+phone&qid=1774770307&sr=8-138
Samsung Type-C USB Flash Drive 256GB Transfers 4GB Files in 11 Secs w/Up to 400MB/s USB 3.2 Gen 1 Read Speeds Compatible w/USB 3.0/2.0 Waterproof 2022 Blue MUF-256DA/AM,,Samsung,,,,,(17012),https://www.amazon.com/SAMSUNG-Type-CTM-Transfers-Compatible-Waterproof/dp/B09WB2NL8W/ref=sr_1_137?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung%2Bphone&qid=1774770307&sr=8-137&th=1
SAMSUNG Galaxy S23+ Plus 5G Factory Unlocked 512GB - Phantom Black (Renewed),,Samsung,Android,8 GB,Snapdragon,3.36 GHz,(62),https://www.amazon.com/SAMSUNG-Galaxy-Factory-Unlocked-512GB/dp/B0C7D32QD5/ref=sr_1_136?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung+phone&qid=1774770307&sr=8-136
Samsung Galaxy A14 5G (SM-A146U) 64GB + 4GB RAM 6.6 FHD+ Display Cricket Black Android (Renewed),,Samsung,Android,4 GB,,,(20),https://www.amazon.com/Samsung-SM-A146U-Display-Cricket-Android/dp/B0FH33SXXQ/ref=sr_1_135?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung+phone&qid=1774770307&sr=8-135
SAMSUNG Galaxy Tab A9 4G LTE (64GB 4GB Cellular) 8.7 Android Tab Octacore (6nm) Dual Speakers (International Model) X115 (w/15W Fast Charger Graphite),,Samsung,,,,,(691),https://www.amazon.com/SAMSUNG-Cellular-Octa-core-Speakers-International/dp/B0D6CJCRRF/ref=sr_1_134?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung+phone&qid=1774770307&sr=8-134
Samsung Galaxy Z Flip7 FE Cell Phone 256GB AI Smartphone Unlocked Android Long Battery Life 2025 Black (Renewed),,Samsung,"Android 16, OneUI 8",,,,(3),https://www.amazon.com/Samsung-Smartphone-Unlocked-Android-Battery/dp/B0FQ7VHL2L/ref=sr_1_133?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung+phone&qid=1774770307&sr=8-133
Samsung Galaxy S22 5G US Version 128GB Black - AT&T (Renewed),,Samsung,Android,8 GB,,,(82),https://www.amazon.com/SAMSUNG-Galaxy-S22-SM-S901U-Renewed/dp/B0BJ7V7BV9/ref=sr_1_132?dib=eyJ2IjoiMSJ9.eyEtQklldaS5rEchoIIFjA6qv2IuWb4x_5GHtuOxRdifphGP9yDRSjikPkPLR1_eyyDZZ6Yr6hyHHQzWLKoss2vbj4X6OKEePrQtsZxZVMerxLYK_RjoGxdA_d8hcI6SESCUe3_QRKNFUQs4r6GoEa3fCSKX9sp_5h6OEgfEiGAObPWt_7Pjlo85y4JqhJRGqRYgvFFvOd-gUjfWeGLPl9b60AjN5S93KhQp7WJ08UY.tXKn80GG_NWlP5RF3fNCixfxzBnPqDfRWUjb_xasat8&dib_tag=se&keywords=samsung+phone&qid=1774770307&sr=8-132
